category,name,ingredients,method,garnish
Contemporary Classics,Bellini,"100 ml Prosecco,50 ml White Peach Puree","Pour peach puree into the mixing glass with ice, add the Prosecco wine. Stir gently and pour in a chilled flute glass.  Note: PUCCINI - Fresh Mandarin Orange Juice; ROSSINI - Fresh Strawberry Puree; TINTORETTO - Fresh Pomegranate Juice.",NA
Contemporary Classics,Black Russian,"50 ml Vodka,20 ml Coffee Liqueur",Pour the ingredients into the old fashioned glass filled with ice cubes. Stir gently.  Note: WHITE RUSSIAN - Float fresh cream on the top and stir in slowly.,NA
Contemporary Classics,Bloody Mary,"45 ml Vodka,90 ml Tomato Juice,15 ml Fresh Lemon Juice,2 dashes Worcestershire Sauce,Tabasco,Celery Salt,Pepper (Up to taste)","Stir gently all the ingredients in a mixing glass with ice, pour into rocks glass. Note: If requested served with ice, pour into highball glass.","Celery, Lemon Wedge (Optional)"
Contemporary Classics,Caipirinha,"60 ml Cachaça,1 Lime cut into small wedges,4 Teaspoons White Cane Sugar",Place lime and sugar into a double old fashioned glass and muddle gently. Fill the glass with cracked ice and add Cachaça. Stir gently to involve ingredients. Note: CAIPIROSKA - Instead of Cachaça use Vodka;,NA
Contemporary Classics,Champagne Cocktail,"90 ml Chilled Champagne,10 ml Cognac,2 dashes Angostura bitters,Few drops of Grand Marnier (optional),1 sugar cube","Place the sugar cube with 2 dashes of bitters in a large Champagne glass, add the cognac. Pour gently chilled Champagne.",Garnish with orange zest and maraschino cherry.
Contemporary Classics,Corpse Reviver #2,"30 ml Gin,30 ml Cointreau,30 ml Lillet Blanc,30 ml Fresh Lemon Juice,1 dash Absinthe",Pour all ingredients into shaker with ice. Shake well and strain in chilled cocktail glass.,Garnish with orange zest
Contemporary Classics,Cosmopolitan,"40 ml Vodka Citron,15 ml Cointreau,15 ml Fresh Lime Juice,30 ml Cranberry Juice",Add all ingredients into a cocktail shaker filled with ice. Shake well and strain into a large cocktail glass.,Garnish with a lemon twist.
Contemporary Classics,Cuba Libre,"50 ml White Rum,120 ml Coca Cola,10 ml Fresh Lime Juice",Build all ingredients in a highball glass filled with ice.,Garnish with lime wedge.
Contemporary Classics,French 75,"30 ml Gin,15 ml Fresh Lemon Juice,15 ml Sugar Syrup,60 ml Champagne","Pour all the ingredients, except Champagne, into a shaker. Shake well and strain into a Champagne flute. Top up with Champagne. Stir gently.",NA
Contemporary Classics,French Connection,"35 ml Cognac,35 ml Amaretto",Pour all ingredients directly into an old fashioned glass filled with ice cubes. Stir gently.,NA
Contemporary Classics,Golden Dream,"20 ml Galliano,20 ml Triple Sec,20 ml Fresh Orange Juice,10 ml Fresh Cream",Pour all ingredients into shaker filled with ice. Shake briskly for few seconds. Strain into chilled cocktail glass.,NA
Contemporary Classics,Grasshopper,"20 ml Crème de Cacao (White),20 ml Crème de Menthe (Green),20 ml Fresh Cream",Pour all ingredients into shaker filled with ice. Shake briskly for few seconds. Strain into chilled cocktail glass.,"N/A, optional mint leaf"
Contemporary Classics,Hemingway Special,"60 ml Rum,40 ml Grapefruit Juice,15 ml Maraschino Luxardo,15 ml Fresh Lime",Pour all ingredients into a shaker with ice. Shake well and strain into a large cocktail glass.,NA
Contemporary Classics,Horse's Neck,"40 ml Cognac,120 ml Ginger Ale,Dash of Angostura Bitters (optional)","Pour Cognac and ginger ale directly into a highball glass with ice cubes. Stir gently. If preferred, add dashes of Angostura Bitter.",Garnish with a rind of one lemon spiral.
Contemporary Classics,Irish Coffee,"50 ml Irish Whiskey,120 ml Hot coffee,50 ml Fresh cream (Chilled),1 teaspoon Sugar",Warm black coffee is poured into a pre-heated Irish coffee glass. Whiskey and at least one teaspoon of sugar is added and stirred until dissolved. Fresh thick chilled cream is carefully poured over the back of a spoon held just above the surface of the coffee. The layer of cream will float on the coffee without mixing. Plain sugar can be replaced with sugar syrup,NA
Contemporary Classics,KIR,"90 ml Dry White Wine,10 ml Crème de Cassis","Pour Crème de Cassis into glass, top up with white wine. Note: KIR ROYAL - Use Champagne instead of white wine",NA
Contemporary Classics,Long Island Ice Tea,"15 ml Vodka,15 ml Tequila,15 ml White rum,15 ml Gin,15 ml Cointreau,30 ml Lemon juice,20 ml Simple syrup,Top with Cola",Add all ingredients into a highball glass filled with ice. Stir gently.,Lemon Slice (Optional)
Contemporary Classics,Mai-Tai,"30 ml Amber Jamaican Rum,30 ml Martinique Molasses Rhum,15 ml Orange Curacao,15 ml Orgeat Syrup (Almond),30 ml Fresh Lime Juice,7.5 ml Simple Syrup",Add all ingredients into a shaker with ice. Shake and pour into a double rocks glass or a highball glass.  The Martinique molasses rum used by Trader Vic was not an Agricole rum but a type of “rummy” from molasses.,"Garnish with pineapple spear, mint leaves, and lime peel."
Contemporary Classics,Margarita,"50 ml Tequila 100% Agave,20 ml Triple Sec,15 ml Freshly Squeezed Lime Juice",Add all ingredients into a shaker with ice. Shake and strain into a chilled cocktail glass,Half salt rim (Optional)
Contemporary Classics,Mimosa,"75 ml Fresh orange juice,75 ml Prosecco",Pour orange juice into a flute glass and gently pour the sparkling wine. Stir gently. Note: Also known as Buck's Fizz.,Garnish with an orange twist (optional).
Contemporary Classics,Mint Julep,"60 ml Bourbon Whiskey,4 fresh Mint sprigs,1 tsp Powdered Sugar,2 tsp Water","In Julep Stainless Steel Cup gently muddle the mint with sugar and water. Fill the glass with cracked ice, add the Bourbon and stir well until the cup frosts.",Garnish with a mint sprig.
Contemporary Classics,Mojito,"45 ml White Cuban Ron,20 ml Fresh Lime Juice,6 pcs Mint Sprigs,2 tsp White Cane Sugar,Soda Water",Mix mint springs with sugar and lime juice. Add splash of soda water and fill the glass with ice. Pour the rum and top with soda water. Light stir to involve all ingredients.,Garnish with sprigs of mint and slice of lime.
Contemporary Classics,Moscow Mule,"45 ml Smirnoff Vodka,120 ml Ginger Beer,10 ml Fresh lime juice","In a Mule Cup or rocks glass, combine the vodka and ginger beer. Add lime juice and gently stir to involve all ingredients.",Garnish with a lime slice
Contemporary Classics,Pina Colada,"50 ml White Rum,30 ml Coconut Cream,50 ml Fresh Pineapple Juice","Blend all the ingredients with ice in an electric blender, pour into a large glass, and serve with straws.  Note: Historically a few drops of fresh lime juice were added to taste. 4 slices of fresh pineapple can be used instead of juice",Garnish with a slice of pineapple with a cocktail cherry.
Contemporary Classics,Pisco Sour,"60 ml Pisco,30 ml Fresh Lemon Juice,20 ml Simple Syrup,1 Raw Egg White",Add all ingredients into a shaker with ice. Shake and strain into a chilled goblet glass.,Few dashes of Amargo bitters on top as an aromatic garnish.
Contemporary Classics,Sea Breeze,"40 ml Vodka,120 ml Cranberry Juice,30 ml Grapefruit Juice",Build all ingredients in a highball glass filled with ice.,Garnish with orange zest and cherry
Contemporary Classics,Sex on the Beach,"40 ml Vodka,20 ml Peach Schnapps,40 ml Fresh Orange Juice,40 ml Cranberry Juice",Build all ingredients in a highball glass filled with ice.,Garnish with a half orange slice.
Contemporary Classics,Singapore Sling,"30 ml Gin,15 ml Cherry liqueur,7.5 ml Cointreau,7.5 ml DOM Bénédictine,120 ml Fresh Pineapple Juice,15 ml Fresh Lime Juice,10 ml Grenadine Syrup,A dash of Angostura bitters",Pour all ingredients into a cocktail shaker filled with ice cubes. Shake well. Strain into Hurricane glass.,Garnish with pineapple and maraschino cherry
Contemporary Classics,Tequila Sunrise,"45 ml Tequila,90 ml Fresh Orange Juice,15 ml Grenadine Syrup","Pour tequila and orange juice directly into highball glass filled with ice cubes. Add the grenadine syrup to create chromatic effect (sunrise), do not stir.",Garnish with half orange slice or an orange zest
Contemporary Classics,Vesper,"45 ml Gin,15 ml Vodka,7.5 ml Lillet Blanc",Pour all ingredients into a cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.,Lemon zest
Contemporary Classics,Zombie,"45 ml Jamaican dark rum,45 ml Gold Puerto Rican rum,30 ml Demerara Rum,20 ml Fresh lime juice,15 ml Falernum,15 ml Donn's Mix,1 tsp Grenadine syrup,1 dash Angostura bitters,6 drops Pernod",Add all ingredients into an electric blender with 170 grams of cracked ice. With pulse bottom blend for a few seconds. Serve in a tall tumbler glass.  Note: Donn's Mix: 2 parts of fresh yellow grapefruit and 1 part of cinnamon syrup,Garnish with mint leaves.
New Era Drinks,Barracuda,"45 ml Gold Rum,15 ml Galliano,60 ml Fresh Pineapple Juice,1 dash Fresh Lime Juice,Top up with Prosecco","Pour all ingredients into cocktail shaker except the Prosecco, shake well with ice, strain into chilled highball glass filled with ice and top up with Prosecco.","Pineapple and Cherry, optional mint sprig for additional aroma."
New Era Drinks,Bee's Knees,"52.5 ml Dry Gin,2 teaspoons Honey Syrup,22.5 ml Fresh Lemon Juice,22.5 ml Fresh Orange Juice","Stir honey with lemon and orange juices until it dissolves, add gin and shake with ice. Strain into a chilled cocktail glass.",Optionally garnish with a lemon or orange zest.
New Era Drinks,Bramble,"50 ml Gin,25 ml Fresh Lemon Juice,12.5 ml Sugar Syrup,15 ml Crème de Mûre","Pour all ingredients into a cocktail shaker except the Crème de Mûre, shake well with ice, strain into chilled old fashioned glass filled with crushed ice, then pour the blackberry liqueur (Crème de Mûre) over the top of the drink, in a circular motion.",Garnish optionally with a lemon slice and blackberries.
New Era Drinks,Canchanchara,"60 ml Cuban Aguardiente,15 ml Fresh Lime Juice,15 ml Raw Honey,50 ml Water","Mix honey with water and lime juice and spread the mixture on the bottom and sides of the glass. Add cracked ice, and then the rum. End by energetically stirring from bottom to top.",Lime wedge.
New Era Drinks,Dark ‘n' stormy,"60 ml Goslings Rum,100 ml Ginger Beer",In a highball glass filled with ice pour the ginger beer and top floating with the Rum.,Garnish with a lime wedge or slice.
New Era Drinks,Espresso Martini,"50 ml Vodka,30 ml Kahlúa,10 ml Sugar Syrup,1 strong Espresso","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",NA
New Era Drinks,Fernandito,"50 ml Fernet Branca,Fill up with Cola","Pour the Fernet Branca into a double old fashioned glass with ice, fill the glass up with Cola. Gently stir.",NA
New Era Drinks,French Martini,"45 ml Vodka,15 ml Raspberry Liqueur,15 ml Fresh Pineapple Juice","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Squeeze oil from lemon peel onto the drink.
